time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
271.975,4479.26,60499.2,4.23435,1.60291,292.414
271.986,4478.65,60499.3,4.23378,1.60248,292.415
271.997,4478.04,60499.3,4.2332,1.60205,292.415
272.008,4477.44,60499.4,4.23263,1.60161,292.416
272.019,4476.83,60499.4,4.23205,1.60118,292.416
272.03,4476.22,60499.5,4.23148,1.60075,292.416
272.041,4475.62,60499.5,4.23091,1.60031,292.417
272.052,4475.01,60499.6,4.23033,1.59988,292.417
272.063,4474.41,60499.6,4.22976,1.59945,292.418
272.074,4473.8,60499.6,4.22919,1.59901,292.418
272.085,4473.19,60499.7,4.22861,1.59858,292.419
272.096,4472.59,60499.7,4.22804,1.59815,292.419
272.107,4471.98,60499.8,4.22746,1.59771,292.419
272.118,4471.38,60499.8,4.22689,1.59728,292.42
272.129,4470.77,60499.9,4.22632,1.59685,292.42
272.14,4470.17,60499.9,4.22574,1.59642,292.421
272.151,4469.56,60500,4.22517,1.59598,292.421
272.162,4468.96,60500,4.2246,1.59555,292.422
272.173,4468.35,60500,4.22403,1.59512,292.422
272.184,4467.75,60500.1,4.22345,1.59469,292.422
272.195,4467.14,60500.1,4.22288,1.59426,292.423
272.206,4466.54,60500.2,4.22231,1.59382,292.423
272.217,4465.93,60500.2,4.22173,1.59339,292.424
272.228,4465.33,60500.3,4.22116,1.59296,292.424
272.239,4464.72,60500.3,4.22059,1.59253,292.425
272.25,4464.12,60500.4,4.22002,1.5921,292.425
272.261,4463.51,60500.4,4.21944,1.59167,292.425
272.272,4462.91,60500.4,4.21887,1.59124,292.426
272.283,4462.31,60500.5,4.2183,1.59081,292.426
272.294,4461.7,60500.5,4.21773,1.59038,292.427
272.305,4461.1,60500.6,4.21715,1.58994,292.427
272.316,4460.49,60500.6,4.21658,1.58951,292.428
272.327,4459.89,60500.7,4.21601,1.58908,292.428
272.338,4459.29,60500.7,4.21544,1.58865,292.428
272.349,4458.68,60500.8,4.21487,1.58822,292.429
272.36,4458.08,60500.8,4.2143,1.58779,292.429
272.371,4457.47,60500.8,4.21372,1.58736,292.43
272.382,4456.87,60500.9,4.21315,1.58693,292.43
272.393,4456.27,60500.9,4.21258,1.5865,292.431
272.404,4455.66,60501,4.21201,1.58607,292.431
272.415,4455.06,60501,4.21144,1.58564,292.431
272.426,4454.46,60501.1,4.21087,1.58522,292.432
272.437,4453.85,60501.1,4.2103,1.58479,292.432
272.448,4453.25,60501.2,4.20972,1.58436,292.433
272.459,4452.65,60501.2,4.20915,1.58393,292.433
272.47,4452.05,60501.2,4.20858,1.5835,292.434
272.481,4451.44,60501.3,4.20801,1.58307,292.434
272.492,4450.84,60501.3,4.20744,1.58264,292.434
272.503,4450.24,60501.4,4.20687,1.58221,292.435
272.514,4449.64,60501.4,4.2063,1.58179,292.435
272.525,4449.03,60501.5,4.20573,1.58136,292.436
272.536,4448.43,60501.5,4.20516,1.58093,292.436
272.547,4447.83,60501.6,4.20459,1.5805,292.437
272.558,4447.23,60501.6,4.20402,1.58007,292.437
272.569,4446.62,60501.6,4.20345,1.57964,292.437
272.58,4446.02,60501.7,4.20288,1.57922,292.438
272.591,4445.42,60501.7,4.20231,1.57879,292.438
272.602,4444.82,60501.8,4.20174,1.57836,292.439
272.613,4444.22,60501.8,4.20117,1.57793,292.439
272.624,4443.61,60501.9,4.2006,1.57751,292.44
272.635,4443.01,60501.9,4.20003,1.57708,292.44
272.646,4442.41,60502,4.19946,1.57665,292.44
272.657,4441.81,60502,4.19889,1.57623,292.441
272.668,4441.21,60502,4.19832,1.5758,292.441
272.679,4440.61,60502.1,4.19775,1.57537,292.442
272.69,4440.01,60502.1,4.19718,1.57495,292.442
272.701,4439.4,60502.2,4.19661,1.57452,292.443
272.712,4438.8,60502.2,4.19604,1.57409,292.443
272.723,4438.2,60502.3,4.19547,1.57367,292.443
272.734,4437.6,60502.3,4.1949,1.57324,292.444
272.745,4437,60502.4,4.19433,1.57281,292.444
272.756,4436.4,60502.4,4.19377,1.57239,292.445
272.767,4435.8,60502.4,4.1932,1.57196,292.445
272.778,4435.2,60502.5,4.19263,1.57154,292.446
272.789,4434.6,60502.5,4.19206,1.57111,292.446
272.8,4434,60502.6,4.19149,1.57069,292.446
272.811,4433.4,60502.6,4.19092,1.57026,292.447
272.822,4432.8,60502.7,4.19035,1.56984,292.447
272.833,4432.2,60502.7,4.18979,1.56941,292.448
